epoch,train_loss,val_loss
1,0.080111,0.061463
2,0.055271,0.054036
3,0.048719,0.051035
4,0.044153,0.044635
5,0.042484,0.041956
6,0.039745,0.043038
7,0.038299,0.042392
8,0.037568,0.037093
9,0.036155,0.041595
10,0.034848,0.039620
11,0.034196,0.040150
12,0.033377,0.039040
13,0.032999,0.035269
14,0.031669,0.037848
15,0.031162,0.036235
16,0.030781,0.037331
17,0.030857,0.031892
18,0.029686,0.031647
19,0.029431,0.033529
20,0.029251,0.032102
21,0.028885,0.034475
22,0.028325,0.031210
23,0.028355,0.032072
24,0.027818,0.031842
25,0.027311,0.032083
26,0.028369,0.031230
27,0.027775,0.031398
28,0.026550,0.033824
29,0.026586,0.033867
30,0.026786,0.033896
31,0.026112,0.033429
32,0.026061,0.030817
33,0.025857,0.033408
34,0.026050,0.032814
35,0.026184,0.029660
