epoch,train_loss,val_loss
1,0.067521,0.054986
2,0.050480,0.041010
3,0.044155,0.037574
4,0.039393,0.042132
5,0.037733,0.037745
6,0.035485,0.033408
7,0.034211,0.032271
8,0.032885,0.033501
9,0.031425,0.031970
10,0.030414,0.033792
11,0.029880,0.034919
12,0.029157,0.030664
13,0.028715,0.031178
14,0.028097,0.029640
15,0.026850,0.028246
16,0.027192,0.028662
17,0.026463,0.028244
18,0.025466,0.028512
19,0.025445,0.026647
20,0.025267,0.027511
21,0.024548,0.026532
22,0.023932,0.028742
23,0.023963,0.028997
24,0.024766,0.026196
25,0.023597,0.029723
26,0.023155,0.026849
27,0.022915,0.026284
28,0.022544,0.025914
29,0.023805,0.025750
30,0.022604,0.025739
31,0.022590,0.026247
32,0.021992,0.025642
33,0.022757,0.030391
34,0.022841,0.027202
35,0.021576,0.027234
