epoch,train_loss,val_loss
1,0.062902,0.053185
2,0.043207,0.037459
3,0.037210,0.035734
4,0.034219,0.035808
5,0.031876,0.032571
6,0.030179,0.031470
7,0.028292,0.027376
8,0.027339,0.034320
9,0.026239,0.028536
10,0.025760,0.026477
11,0.024828,0.028108
12,0.024244,0.025276
13,0.023462,0.026914
14,0.023682,0.027442
15,0.022409,0.024373
16,0.022482,0.027704
17,0.021755,0.026145
18,0.021753,0.025586
19,0.021713,0.023714
20,0.021185,0.023057
21,0.020701,0.023541
22,0.021036,0.024484
23,0.020746,0.021892
24,0.019644,0.022745
25,0.019356,0.023909
26,0.020290,0.023631
27,0.019180,0.021709
28,0.019203,0.021742
29,0.019032,0.024686
30,0.018747,0.024356
31,0.018653,0.022887
32,0.019718,0.021570
33,0.018643,0.024863
34,0.018164,0.025069
35,0.018129,0.021895
