filename,si_sdr_noisy,si_sdr_denoised,improvement
p232_001.wav,15.4690,23.5234,+8.0544
p232_002.wav,11.3174,21.5949,+10.2775
p232_003.wav,6.7272,20.9200,+14.1928
p232_005.wav,1.8515,14.6232,+12.7717
p232_006.wav,16.8456,22.2894,+5.4438
p232_007.wav,11.8097,16.9428,+5.1331
p232_009.wav,6.7650,17.1700,+10.4050
p232_010.wav,0.8840,7.8294,+6.9454
p232_011.wav,16.7996,20.5908,+3.7912
p232_012.wav,11.9012,17.6700,+5.7688
p232_013.wav,6.8005,13.7883,+6.9879
p232_014.wav,1.9251,13.4431,+11.5180
p232_015.wav,16.9440,24.5438,+7.5998
p232_016.wav,11.9887,22.9705,+10.9819
p232_017.wav,6.4346,21.3717,+14.9371
p232_019.wav,2.0539,19.0691,+17.0152
p232_020.wav,16.2337,20.9556,+4.7219
p232_021.wav,11.9107,21.7614,+9.8507
p232_022.wav,6.9884,16.5299,+9.5415
p232_023.wav,1.9867,13.6198,+11.6331
p232_024.wav,16.8030,24.8420,+8.0391
p232_025.wav,10.6348,20.9060,+10.2712
p232_027.wav,6.7054,19.7503,+13.0450
p232_028.wav,0.1978,15.7930,+15.5952
p232_029.wav,16.5188,20.1522,+3.6334
p232_030.wav,11.7122,20.8724,+9.1602
p232_031.wav,5.5561,17.2030,+11.6469
p232_032.wav,1.5441,7.6074,+6.0633
p232_033.wav,14.9630,20.2203,+5.2573
p232_034.wav,10.0701,15.5013,+5.4312
p232_035.wav,6.6333,15.3050,+8.6717
p232_036.wav,1.5771,8.3463,+6.7691
p232_037.wav,16.5627,25.5516,+8.9889
p232_038.wav,10.9469,22.0541,+11.1071
p232_039.wav,4.4224,17.6317,+13.2093
p232_040.wav,0.4752,18.9066,+18.4313
p232_041.wav,15.8196,20.6352,+4.8157
p232_042.wav,11.2294,23.6171,+12.3877
p232_043.wav,5.8746,14.3316,+8.4570
p232_044.wav,-0.2712,12.6255,+12.8967
p232_045.wav,14.3725,24.2653,+9.8928
p232_046.wav,9.8939,17.9467,+8.0528
p232_047.wav,5.7352,17.1093,+11.3741
p232_048.wav,-0.6568,16.2138,+16.8706
p232_049.wav,16.4423,22.9862,+6.5439
p232_050.wav,10.4754,16.7956,+6.3203
p232_051.wav,5.1579,14.2739,+9.1160
p232_052.wav,1.2284,7.9039,+6.6755
p232_053.wav,15.4500,20.0814,+4.6313
p232_054.wav,11.7063,19.3537,+7.6474
p232_055.wav,5.2963,17.5097,+12.2135
p232_056.wav,0.5099,7.8220,+7.3121
p232_057.wav,16.0760,24.6579,+8.5820
p232_058.wav,11.7257,23.8306,+12.1049
p232_059.wav,4.7071,18.7095,+14.0024
p232_060.wav,0.0939,17.3345,+17.2406
p232_061.wav,16.5539,21.4240,+4.8700
p232_062.wav,11.3960,20.2872,+8.8912
p232_063.wav,5.4484,16.3341,+10.8857
p232_064.wav,0.9773,14.2952,+13.3179
p232_065.wav,15.2511,18.3793,+3.1282
p232_066.wav,11.4720,22.2260,+10.7540
p232_067.wav,6.2658,18.0244,+11.7585
p232_068.wav,1.3353,16.6244,+15.2891
p232_069.wav,16.3643,23.0105,+6.6462
p232_070.wav,11.2717,18.4641,+7.1924
p232_071.wav,6.1824,15.9926,+9.8102
p232_072.wav,0.6754,9.4974,+8.8219
p232_073.wav,15.4444,19.5609,+4.1165
p232_074.wav,11.2425,21.1469,+9.9044
p232_075.wav,6.2911,14.9798,+8.6887
p232_076.wav,0.7790,8.7167,+7.9377
p232_077.wav,15.1254,21.2622,+6.1368
p232_078.wav,11.0314,23.1904,+12.1589
p232_079.wav,5.8788,21.4421,+15.5632
p232_080.wav,-0.7432,16.2218,+16.9651
p232_081.wav,15.7371,21.7995,+6.0624
p232_082.wav,10.2896,16.0537,+5.7640
p232_083.wav,5.4425,16.5967,+11.1542
p232_084.wav,-0.4144,13.6485,+14.0629
p232_085.wav,15.8229,23.4443,+7.6214
p232_086.wav,10.7302,20.4550,+9.7248
p232_087.wav,5.7761,22.4854,+16.7093
p232_088.wav,1.4845,18.9881,+17.5036
p232_089.wav,16.1992,19.2233,+3.0241
p232_090.wav,11.3937,19.1595,+7.7658
p232_091.wav,5.1652,13.3546,+8.1894
p232_092.wav,0.4926,12.6424,+12.1498
p232_093.wav,16.1205,20.0829,+3.9624
p232_094.wav,11.4596,18.1161,+6.6565
p232_095.wav,7.4302,13.0015,+5.5712
p232_096.wav,0.7030,11.4842,+10.7812
p232_097.wav,16.3647,22.0393,+5.6746
p232_098.wav,11.1112,23.5283,+12.4172
p232_099.wav,6.3740,22.7569,+16.3830
p232_100.wav,0.2672,17.1483,+16.8811
p232_101.wav,15.7463,21.9193,+6.1730
p232_102.wav,10.7274,18.9720,+8.2446
p232_103.wav,6.6614,15.6110,+8.9496
p232_104.wav,1.2609,13.9166,+12.6557
p232_105.wav,15.3975,20.1747,+4.7772
p232_106.wav,11.1357,22.1315,+10.9958
p232_107.wav,6.1788,20.1843,+14.0055
p232_108.wav,0.4646,18.2696,+17.8050
p232_109.wav,16.5991,21.6593,+5.0602
p232_110.wav,10.9919,15.2089,+4.2170
p232_112.wav,5.3494,16.6146,+11.2651
p232_113.wav,-0.2634,8.0880,+8.3514
p232_114.wav,16.8429,21.8646,+5.0218
p232_115.wav,11.4058,17.9863,+6.5805
p232_116.wav,6.0065,17.5972,+11.5907
p232_117.wav,1.7383,10.4399,+8.7016
p232_118.wav,16.3341,24.5687,+8.2345
p232_119.wav,11.2265,22.8800,+11.6535
p232_120.wav,4.9243,18.7798,+13.8555
p232_121.wav,1.4746,18.0569,+16.5823
p232_123.wav,16.6844,22.9785,+6.2941
p232_124.wav,10.0667,19.3342,+9.2674
p232_125.wav,5.3383,16.7515,+11.4133
p232_126.wav,1.0262,13.3439,+12.3178
p232_127.wav,15.7330,24.3695,+8.6365
p232_128.wav,11.1237,19.9309,+8.8072
p232_129.wav,6.6323,21.7153,+15.0830
p232_130.wav,1.2525,18.0471,+16.7945
p232_131.wav,16.4788,22.4150,+5.9362
p232_132.wav,10.7148,16.1578,+5.4430
p232_133.wav,6.2523,14.1910,+7.9387
p232_134.wav,0.3818,9.0202,+8.6383
p232_135.wav,15.5536,19.9231,+4.3695
p232_136.wav,10.0684,16.7112,+6.6428
p232_137.wav,5.2540,14.9880,+9.7341
p232_138.wav,0.2991,12.5814,+12.2823
p232_139.wav,15.9847,26.0906,+10.1059
p232_140.wav,10.1822,22.2021,+12.0199
p232_141.wav,5.4431,17.7796,+12.3365
p232_142.wav,1.7889,15.2558,+13.4669
p232_143.wav,15.2634,23.0371,+7.7738
p232_144.wav,11.0549,19.7287,+8.6738
p232_145.wav,6.0785,14.9332,+8.8548
p232_146.wav,0.9451,15.4507,+14.5056
p232_147.wav,16.3386,23.0472,+6.7086
p232_148.wav,11.6039,21.7687,+10.1648
p232_150.wav,5.8684,21.1248,+15.2564
p232_151.wav,1.3204,17.0967,+15.7763
p232_152.wav,15.5801,21.6413,+6.0612
p232_153.wav,10.7907,16.9466,+6.1560
p232_154.wav,6.2389,12.4382,+6.1993
p232_155.wav,1.1981,6.0165,+4.8184
p232_156.wav,15.9658,20.0792,+4.1134
p232_158.wav,11.5812,17.3885,+5.8073
p232_159.wav,5.6309,16.1399,+10.5090
p232_160.wav,2.3961,10.2972,+7.9011
p232_161.wav,16.3616,25.1406,+8.7790
p232_162.wav,10.1996,24.8215,+14.6218
p232_163.wav,6.0059,22.8729,+16.8670
p232_164.wav,1.2091,17.5421,+16.3330
p232_165.wav,15.4459,20.4135,+4.9676
p232_167.wav,11.3099,20.4805,+9.1706
p232_169.wav,6.5958,17.4502,+10.8544
p232_170.wav,0.6328,9.6787,+9.0459
p232_171.wav,15.7622,22.2126,+6.4504
p232_172.wav,10.8642,24.8562,+13.9920
p232_173.wav,5.9517,19.1113,+13.1595
p232_174.wav,0.9455,16.1447,+15.1993
p232_175.wav,16.5397,22.1155,+5.5758
p232_176.wav,11.4672,15.8825,+4.4153
p232_177.wav,5.4344,12.6848,+7.2504
p232_178.wav,0.8863,12.1614,+11.2751
p232_179.wav,16.6388,22.1076,+5.4688
p232_180.wav,11.4850,16.6961,+5.2112
p232_181.wav,5.7354,15.0381,+9.3028
p232_182.wav,1.3478,8.5430,+7.1952
p232_183.wav,14.9197,24.2176,+9.2979
