filename,si_sdr_noisy,si_sdr_denoised,improvement
p232_001.wav,15.4690,23.4693,+8.0003
p232_002.wav,11.3174,21.6178,+10.3004
p232_003.wav,6.7272,20.7913,+14.0641
p232_005.wav,1.8515,15.4419,+13.5903
p232_006.wav,16.8456,21.9979,+5.1523
p232_007.wav,11.8097,16.9174,+5.1077
p232_009.wav,6.7650,17.7290,+10.9640
p232_010.wav,0.8840,7.7450,+6.8609
p232_011.wav,16.7996,20.6487,+3.8490
p232_012.wav,11.9012,16.9377,+5.0366
p232_013.wav,6.8005,14.1774,+7.3769
p232_014.wav,1.9251,13.9050,+11.9799
p232_015.wav,16.9440,24.0965,+7.1525
p232_016.wav,11.9887,22.2285,+10.2398
p232_017.wav,6.4346,20.6648,+14.2302
p232_019.wav,2.0539,18.8319,+16.7781
p232_020.wav,16.2337,20.9410,+4.7073
p232_021.wav,11.9107,21.5621,+9.6514
p232_022.wav,6.9884,16.1689,+9.1805
p232_023.wav,1.9867,14.0523,+12.0656
p232_024.wav,16.8030,24.5662,+7.7633
p232_025.wav,10.6348,19.4739,+8.8391
p232_027.wav,6.7054,20.2680,+13.5626
p232_028.wav,0.1978,15.7521,+15.5543
p232_029.wav,16.5188,19.9547,+3.4358
p232_030.wav,11.7122,20.9204,+9.2083
p232_031.wav,5.5561,17.1212,+11.5651
p232_032.wav,1.5441,8.1606,+6.6165
p232_033.wav,14.9630,19.8359,+4.8729
p232_034.wav,10.0701,15.7253,+5.6552
p232_035.wav,6.6333,15.3703,+8.7370
p232_036.wav,1.5771,9.1225,+7.5454
p232_037.wav,16.5627,24.5786,+8.0159
p232_038.wav,10.9469,21.3198,+10.3729
p232_039.wav,4.4224,18.2806,+13.8582
p232_040.wav,0.4752,18.5235,+18.0483
p232_041.wav,15.8196,20.7839,+4.9643
p232_042.wav,11.2294,22.7994,+11.5700
p232_043.wav,5.8746,14.4388,+8.5641
p232_044.wav,-0.2712,10.9495,+11.2208
p232_045.wav,14.3725,22.4644,+8.0919
p232_046.wav,9.8939,15.4804,+5.5865
p232_047.wav,5.7352,16.1954,+10.4602
p232_048.wav,-0.6568,15.6634,+16.3202
p232_049.wav,16.4423,22.7050,+6.2627
p232_050.wav,10.4754,17.1676,+6.6922
p232_051.wav,5.1579,14.7044,+9.5465
p232_052.wav,1.2284,7.9523,+6.7239
p232_053.wav,15.4500,20.0204,+4.5703
p232_054.wav,11.7063,18.8588,+7.1525
p232_055.wav,5.2963,17.8861,+12.5899
p232_056.wav,0.5099,9.7431,+9.2332
