filename,si_sdr_noisy,si_sdr_denoised,improvement
p232_001.wav,15.4690,23.6190,+8.1500
p232_002.wav,11.3174,20.9680,+9.6506
p232_003.wav,6.7272,20.7146,+13.9874
p232_005.wav,1.8515,15.4118,+13.5603
p232_006.wav,16.8456,22.3848,+5.5392
p232_007.wav,11.8097,17.1357,+5.3261
p232_009.wav,6.7650,17.6265,+10.8615
p232_010.wav,0.8840,8.7867,+7.9026
p232_011.wav,16.7996,20.6760,+3.8763
p232_012.wav,11.9012,18.0565,+6.1553
p232_013.wav,6.8005,14.4000,+7.5996
p232_014.wav,1.9251,14.1509,+12.2258
p232_015.wav,16.9440,24.2939,+7.3499
p232_016.wav,11.9887,22.2936,+10.3050
p232_017.wav,6.4346,20.7117,+14.2771
p232_019.wav,2.0539,18.8165,+16.7627
p232_020.wav,16.2337,21.1770,+4.9433
p232_021.wav,11.9107,21.6569,+9.7462
p232_022.wav,6.9884,16.4799,+9.4915
p232_023.wav,1.9867,14.2178,+12.2311
p232_024.wav,16.8030,24.4017,+7.5987
p232_025.wav,10.6348,20.9717,+10.3369
p232_027.wav,6.7054,19.9119,+13.2065
p232_028.wav,0.1978,15.8766,+15.6788
p232_029.wav,16.5188,20.1810,+3.6622
p232_030.wav,11.7122,20.8418,+9.1296
p232_031.wav,5.5561,16.6853,+11.1292
p232_032.wav,1.5441,8.4833,+6.9392
p232_033.wav,14.9630,19.8880,+4.9251
p232_034.wav,10.0701,16.1748,+6.1047
p232_035.wav,6.6333,15.8618,+9.2285
p232_036.wav,1.5771,10.0635,+8.4863
p232_037.wav,16.5627,24.4676,+7.9049
p232_038.wav,10.9469,21.3155,+10.3686
p232_039.wav,4.4224,18.0963,+13.6739
p232_040.wav,0.4752,18.8235,+18.3483
p232_041.wav,15.8196,21.3746,+5.5550
p232_042.wav,11.2294,23.1849,+11.9555
p232_043.wav,5.8746,14.5213,+8.6467
p232_044.wav,-0.2712,13.1017,+13.3729
p232_045.wav,14.3725,22.6146,+8.2421
p232_046.wav,9.8939,18.3283,+8.4345
p232_047.wav,5.7352,17.0116,+11.2764
p232_048.wav,-0.6568,16.0016,+16.6584
p232_049.wav,16.4423,22.6155,+6.1732
p232_050.wav,10.4754,17.1965,+6.7211
p232_051.wav,5.1579,15.0802,+9.9222
p232_052.wav,1.2284,8.6173,+7.3888
p232_053.wav,15.4500,20.3749,+4.9248
p232_054.wav,11.7063,19.1930,+7.4867
p232_055.wav,5.2963,18.2746,+12.9783
p232_056.wav,0.5099,10.0455,+9.5355
